"","","","Export Quantity Index (2014-2016 = 100) [495]","Export Quantity Index (2014-2016 = 100) [495]","Export Quantity Index (2014-2016 = 100) [495]","Export Unit/Value Index (2014-2016 = 100)","Export Unit/Value Index (2014-2016 = 100)","Export Unit/Value Index (2014-2016 = 100)","Export Value Base Price [95]","Export Value Base Price [95]","Export Value Base Price [95]","Export Value Base Quantity [94]","Export Value Base Quantity [94]","Export Value Base Quantity [94]","Export Value Index (2014-2016 = 100) [492]","Export Value Index (2014-2016 = 100) [492]","Export Value Index (2014-2016 = 100) [492]","Import Quantity Index (2014-2016 = 100) [465]","Import Quantity Index (2014-2016 = 100) [465]","Import Quantity Index (2014-2016 = 100) [465]","Import Unit/Value Index (2014-2016 = 100)","Import Unit/Value Index (2014-2016 = 100)","Import Unit/Value Index (2014-2016 = 100)","Import Value Base Period Price [65]","Import Value Base Period Price [65]","Import Value Base Period Price [65]","Import Value Base Period Quantity [64]","Import Value Base Period Quantity [64]","Import Value Base Period Quantity [64]","Import Value Index (2014-2016 = 100) [462]","Import Value Index (2014-2016 = 100) [462]","Import Value Index (2014-2016 = 100) [462]"
"","","","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description"
"2010 [2010]","Meat, cattle [867]","Hungary [97]","index","131","Calculated data","index","113","Calculated data","1000 $","47245","Calculated data","1000 $","41008","Calculated data","index","148","Calculated data","index","116","Calculated data","index","94","Calculated data","1000 $","53268","Calculated data","1000 $","43262","Calculated data","index","109","Calculated data"
"2010 [2010]","Meat, cattle [867]","Ireland [104]","index","100","Calculated data","index","89","Calculated data","1000 $","1935683","Calculated data","1000 $","1734142","Calculated data","index","90","Calculated data","index","125","Calculated data","index","101","Calculated data","1000 $","138903","Calculated data","1000 $","113367","Calculated data","index","127","Calculated data"
"2010 [2010]","Meat, chicken [1058]","Hungary [97]","index","68","Calculated data","index","109","Calculated data","1000 $","377617","Calculated data","1000 $","607601","Calculated data","index","73","Calculated data","index","84","Calculated data","index","83","Calculated data","1000 $","50230","Calculated data","1000 $","49513","Calculated data","index","70","Calculated data"
"2010 [2010]","Meat, chicken [1058]","Ireland [104]","index","108","Calculated data","index","98","Calculated data","1000 $","104401","Calculated data","1000 $","97540","Calculated data","index","108","Calculated data","index","57","Calculated data","index","113","Calculated data","1000 $","195287","Calculated data","1000 $","397632","Calculated data","index","66","Calculated data"
"2010 [2010]","Meat, pig [1035]","Hungary [97]","index","118","Calculated data","index","100","Calculated data","1000 $","435420","Calculated data","1000 $","369997","Calculated data","index","118","Calculated data","index","95","Calculated data","index","98","Calculated data","1000 $","253134","Calculated data","1000 $","262920","Calculated data","index","94","Calculated data"
"2010 [2010]","Meat, pig [1035]","Ireland [104]","index","61","Calculated data","index","87","Calculated data","1000 $","282477","Calculated data","1000 $","405505","Calculated data","index","54","Calculated data","index","80","Calculated data","index","109","Calculated data","1000 $","99526","Calculated data","1000 $","136273","Calculated data","index","87","Calculated data"
"2010 [2010]","Meat, sheep [977]","Hungary [97]","index","48","Calculated data","index","119","Calculated data","1000 $","681","Calculated data","1000 $","1827","Calculated data","index","63","Calculated data","index","60","Calculated data","index","111","Calculated data","1000 $","955","Calculated data","1000 $","1806","Calculated data","index","69","Calculated data"
"2010 [2010]","Meat, sheep [977]","Ireland [104]","index","81","Calculated data","index","98","Calculated data","1000 $","219475","Calculated data","1000 $","265985","Calculated data","index","79","Calculated data","index","74","Calculated data","index","104","Calculated data","1000 $","17879","Calculated data","1000 $","25114","Calculated data","index","77","Calculated data"
"2011 [2011]","Meat, cattle [867]","Hungary [97]","index","120","Calculated data","index","136","Calculated data","1000 $","43452","Calculated data","1000 $","49452","Calculated data","index","164","Calculated data","index","130","Calculated data","index","109","Calculated data","1000 $","59501","Calculated data","1000 $","50092","Calculated data","index","141","Calculated data"
"2011 [2011]","Meat, cattle [867]","Ireland [104]","index","106","Calculated data","index","103","Calculated data","1000 $","2044285","Calculated data","1000 $","1998849","Calculated data","index","109","Calculated data","index","129","Calculated data","index","104","Calculated data","1000 $","144191","Calculated data","1000 $","117036","Calculated data","index","136","Calculated data"
"2011 [2011]","Meat, chicken [1058]","Hungary [97]","index","81","Calculated data","index","121","Calculated data","1000 $","450957","Calculated data","1000 $","677056","Calculated data","index","98","Calculated data","index","114","Calculated data","index","89","Calculated data","1000 $","68200","Calculated data","1000 $","52847","Calculated data","index","101","Calculated data"
"2011 [2011]","Meat, chicken [1058]","Ireland [104]","index","134","Calculated data","index","89","Calculated data","1000 $","129633","Calculated data","1000 $","88782","Calculated data","index","122","Calculated data","index","60","Calculated data","index","123","Calculated data","1000 $","206683","Calculated data","1000 $","434889","Calculated data","index","76","Calculated data"
"2011 [2011]","Meat, pig [1035]","Hungary [97]","index","113","Calculated data","index","110","Calculated data","1000 $","416794","Calculated data","1000 $","409495","Calculated data","index","125","Calculated data","index","106","Calculated data","index","117","Calculated data","1000 $","281198","Calculated data","1000 $","312386","Calculated data","index","124","Calculated data"
"2011 [2011]","Meat, pig [1035]","Ireland [104]","index","73","Calculated data","index","98","Calculated data","1000 $","334564","Calculated data","1000 $","456830","Calculated data","index","72","Calculated data","index","102","Calculated data","index","95","Calculated data","1000 $","127448","Calculated data","1000 $","119534","Calculated data","index","97","Calculated data"
"2011 [2011]","Meat, sheep [977]","Hungary [97]","index","23","Calculated data","index","200","Calculated data","1000 $","320","Calculated data","1000 $","3064","Calculated data","index","49","Calculated data","index","98","Calculated data","index","132","Calculated data","1000 $","1549","Calculated data","1000 $","2155","Calculated data","index","133","Calculated data"
"2011 [2011]","Meat, sheep [977]","Ireland [104]","index","89","Calculated data","index","109","Calculated data","1000 $","241545","Calculated data","1000 $","298575","Calculated data","index","98","Calculated data","index","75","Calculated data","index","103","Calculated data","1000 $","18181","Calculated data","1000 $","25010","Calculated data","index","78","Calculated data"
"2012 [2012]","Meat, cattle [867]","Hungary [97]","index","120","Calculated data","index","134","Calculated data","1000 $","43383","Calculated data","1000 $","48772","Calculated data","index","162","Calculated data","index","90","Calculated data","index","115","Calculated data","1000 $","41523","Calculated data","1000 $","53011","Calculated data","index","104","Calculated data"
"2012 [2012]","Meat, cattle [867]","Ireland [104]","index","89","Calculated data","index","111","Calculated data","1000 $","1732056","Calculated data","1000 $","2163454","Calculated data","index","100","Calculated data","index","107","Calculated data","index","98","Calculated data","1000 $","118941","Calculated data","1000 $","110202","Calculated data","index","105","Calculated data"
"2012 [2012]","Meat, chicken [1058]","Hungary [97]","index","88","Calculated data","index","114","Calculated data","1000 $","490133","Calculated data","1000 $","640762","Calculated data","index","101","Calculated data","index","96","Calculated data","index","74","Calculated data","1000 $","57206","Calculated data","1000 $","43702","Calculated data","index","70","Calculated data"
"2012 [2012]","Meat, chicken [1058]","Ireland [104]","index","101","Calculated data","index","106","Calculated data","1000 $","97865","Calculated data","1000 $","105437","Calculated data","index","110","Calculated data","index","66","Calculated data","index","111","Calculated data","1000 $","227470","Calculated data","1000 $","391338","Calculated data","index","75","Calculated data"
"2012 [2012]","Meat, pig [1035]","Hungary [97]","index","101","Calculated data","index","109","Calculated data","1000 $","373945","Calculated data","1000 $","406039","Calculated data","index","111","Calculated data","index","112","Calculated data","index","128","Calculated data","1000 $","297398","Calculated data","1000 $","342426","Calculated data","index","144","Calculated data"
"2012 [2012]","Meat, pig [1035]","Ireland [104]","index","79","Calculated data","index","104","Calculated data","1000 $","364537","Calculated data","1000 $","481805","Calculated data","index","83","Calculated data","index","85","Calculated data","index","121","Calculated data","1000 $","106972","Calculated data","1000 $","151168","Calculated data","index","103","Calculated data"
"2012 [2012]","Meat, sheep [977]","Hungary [97]","index","17","Calculated data","index","193","Calculated data","1000 $","240","Calculated data","1000 $","2965","Calculated data","index","36","Calculated data","index","58","Calculated data","index","139","Calculated data","1000 $","918","Calculated data","1000 $","2272","Calculated data","index","83","Calculated data"
"2012 [2012]","Meat, sheep [977]","Ireland [104]","index","100","Calculated data","index","100","Calculated data","1000 $","271956","Calculated data","1000 $","272224","Calculated data","index","100","Calculated data","index","83","Calculated data","index","116","Calculated data","1000 $","20005","Calculated data","1000 $","27996","Calculated data","index","96","Calculated data"
"2013 [2013]","Meat, cattle [867]","Hungary [97]","index","116","Calculated data","index","127","Calculated data","1000 $","41944","Calculated data","1000 $","46045","Calculated data","index","148","Calculated data","index","79","Calculated data","index","117","Calculated data","1000 $","36140","Calculated data","1000 $","54008","Calculated data","index","93","Calculated data"
"2013 [2013]","Meat, cattle [867]","Ireland [104]","index","89","Calculated data","index","115","Calculated data","1000 $","1715863","Calculated data","1000 $","2235690","Calculated data","index","102","Calculated data","index","93","Calculated data","index","109","Calculated data","1000 $","103898","Calculated data","1000 $","122372","Calculated data","index","102","Calculated data"
"2013 [2013]","Meat, chicken [1058]","Hungary [97]","index","92","Calculated data","index","114","Calculated data","1000 $","513805","Calculated data","1000 $","637848","Calculated data","index","105","Calculated data","index","117","Calculated data","index","89","Calculated data","1000 $","69988","Calculated data","1000 $","52664","Calculated data","index","104","Calculated data"
"2013 [2013]","Meat, chicken [1058]","Ireland [104]","index","65","Calculated data","index","130","Calculated data","1000 $","62826","Calculated data","1000 $","129345","Calculated data","index","86","Calculated data","index","72","Calculated data","index","118","Calculated data","1000 $","248465","Calculated data","1000 $","415610","Calculated data","index","87","Calculated data"
"2013 [2013]","Meat, pig [1035]","Hungary [97]","index","98","Calculated data","index","109","Calculated data","1000 $","363375","Calculated data","1000 $","405114","Calculated data","index","108","Calculated data","index","100","Calculated data","index","122","Calculated data","1000 $","266400","Calculated data","1000 $","326597","Calculated data","index","123","Calculated data"
"2013 [2013]","Meat, pig [1035]","Ireland [104]","index","77","Calculated data","index","118","Calculated data","1000 $","355321","Calculated data","1000 $","546702","Calculated data","index","92","Calculated data","index","108","Calculated data","index","103","Calculated data","1000 $","135543","Calculated data","1000 $","128324","Calculated data","index","111","Calculated data"
"2013 [2013]","Meat, sheep [977]","Hungary [97]","index","66","Calculated data","index","92","Calculated data","1000 $","935","Calculated data","1000 $","1417","Calculated data","index","67","Calculated data","index","94","Calculated data","index","97","Calculated data","1000 $","1483","Calculated data","1000 $","1577","Calculated data","index","93","Calculated data"
"2013 [2013]","Meat, sheep [977]","Ireland [104]","index","98","Calculated data","index","108","Calculated data","1000 $","266310","Calculated data","1000 $","293697","Calculated data","index","106","Calculated data","index","97","Calculated data","index","111","Calculated data","1000 $","23344","Calculated data","1000 $","26822","Calculated data","index","107","Calculated data"
"2014 [2014]","Meat, cattle [867]","Hungary [97]","index","93","Calculated data","index","112","Calculated data","1000 $","33488","Calculated data","1000 $","40578","Calculated data","index","104","Calculated data","index","95","Calculated data","index","108","Calculated data","1000 $","43452","Calculated data","1000 $","49589","Calculated data","index","102","Calculated data"
"2014 [2014]","Meat, cattle [867]","Ireland [104]","index","97","Calculated data","index","108","Calculated data","1000 $","1868721","Calculated data","1000 $","2107172","Calculated data","index","105","Calculated data","index","93","Calculated data","index","115","Calculated data","1000 $","103674","Calculated data","1000 $","129160","Calculated data","index","108","Calculated data"
"2014 [2014]","Meat, chicken [1058]","Hungary [97]","index","97","Calculated data","index","112","Calculated data","1000 $","542469","Calculated data","1000 $","629427","Calculated data","index","109","Calculated data","index","120","Calculated data","index","105","Calculated data","1000 $","71527","Calculated data","1000 $","62286","Calculated data","index","125","Calculated data"
"2014 [2014]","Meat, chicken [1058]","Ireland [104]","index","82","Calculated data","index","123","Calculated data","1000 $","79893","Calculated data","1000 $","122453","Calculated data","index","104","Calculated data","index","85","Calculated data","index","122","Calculated data","1000 $","291665","Calculated data","1000 $","428908","Calculated data","index","106","Calculated data"
"2014 [2014]","Meat, pig [1035]","Hungary [97]","index","97","Calculated data","index","115","Calculated data","1000 $","357956","Calculated data","1000 $","425631","Calculated data","index","111","Calculated data","index","94","Calculated data","index","116","Calculated data","1000 $","251552","Calculated data","1000 $","310390","Calculated data","index","110","Calculated data"
"2014 [2014]","Meat, pig [1035]","Ireland [104]","index","89","Calculated data","index","115","Calculated data","1000 $","408662","Calculated data","1000 $","532829","Calculated data","index","103","Calculated data","index","108","Calculated data","index","99","Calculated data","1000 $","135224","Calculated data","1000 $","124444","Calculated data","index","107","Calculated data"
"2014 [2014]","Meat, sheep [977]","Hungary [97]","index","51","Calculated data","index","118","Calculated data","1000 $","714","Calculated data","1000 $","1809","Calculated data","index","65","Calculated data","index","80","Calculated data","index","117","Calculated data","1000 $","1270","Calculated data","1000 $","1912","Calculated data","index","97","Calculated data"
"2014 [2014]","Meat, sheep [977]","Ireland [104]","index","91","Calculated data","index","106","Calculated data","1000 $","246534","Calculated data","1000 $","289841","Calculated data","index","97","Calculated data","index","104","Calculated data","index","103","Calculated data","1000 $","25162","Calculated data","1000 $","24928","Calculated data","index","107","Calculated data"
"2015 [2015]","Meat, cattle [867]","Hungary [97]","index","99","Calculated data","index","97","Calculated data","1000 $","35916","Calculated data","1000 $","35188","Calculated data","index","97","Calculated data","index","99","Calculated data","index","94","Calculated data","1000 $","45382","Calculated data","1000 $","43252","Calculated data","index","93","Calculated data"
"2015 [2015]","Meat, cattle [867]","Ireland [104]","index","92","Calculated data","index","100","Calculated data","1000 $","1771648","Calculated data","1000 $","1954078","Calculated data","index","92","Calculated data","index","98","Calculated data","index","100","Calculated data","1000 $","109644","Calculated data","1000 $","112130","Calculated data","index","99","Calculated data"
"2015 [2015]","Meat, chicken [1058]","Hungary [97]","index","98","Calculated data","index","94","Calculated data","1000 $","545390","Calculated data","1000 $","525495","Calculated data","index","92","Calculated data","index","90","Calculated data","index","97","Calculated data","1000 $","53875","Calculated data","1000 $","57687","Calculated data","index","87","Calculated data"
"2015 [2015]","Meat, chicken [1058]","Ireland [104]","index","106","Calculated data","index","94","Calculated data","1000 $","102673","Calculated data","1000 $","93778","Calculated data","index","102","Calculated data","index","120","Calculated data","index","79","Calculated data","1000 $","412222","Calculated data","1000 $","278988","Calculated data","index","97","Calculated data"
"2015 [2015]","Meat, pig [1035]","Hungary [97]","index","103","Calculated data","index","89","Calculated data","1000 $","382014","Calculated data","1000 $","331920","Calculated data","index","93","Calculated data","index","95","Calculated data","index","89","Calculated data","1000 $","253932","Calculated data","1000 $","237719","Calculated data","index","85","Calculated data"
"2015 [2015]","Meat, pig [1035]","Ireland [104]","index","101","Calculated data","index","90","Calculated data","1000 $","467177","Calculated data","1000 $","417094","Calculated data","index","92","Calculated data","index","98","Calculated data","index","101","Calculated data","1000 $","122425","Calculated data","1000 $","126290","Calculated data","index","99","Calculated data"
"2015 [2015]","Meat, sheep [977]","Hungary [97]","index","67","Calculated data","index","100","Calculated data","1000 $","948","Calculated data","1000 $","1537","Calculated data","index","73","Calculated data","index","92","Calculated data","index","100","Calculated data","1000 $","1454","Calculated data","1000 $","1637","Calculated data","index","95","Calculated data"
"2015 [2015]","Meat, sheep [977]","Ireland [104]","index","98","Calculated data","index","97","Calculated data","1000 $","265510","Calculated data","1000 $","264561","Calculated data","index","95","Calculated data","index","110","Calculated data","index","95","Calculated data","1000 $","26479","Calculated data","1000 $","23024","Calculated data","index","104","Calculated data"
"2016 [2016]","Meat, cattle [867]","Hungary [97]","index","108","Calculated data","index","92","Calculated data","1000 $","39123","Calculated data","1000 $","33315","Calculated data","index","100","Calculated data","index","107","Calculated data","index","98","Calculated data","1000 $","48969","Calculated data","1000 $","45179","Calculated data","index","105","Calculated data"
"2016 [2016]","Meat, cattle [867]","Ireland [104]","index","112","Calculated data","index","91","Calculated data","1000 $","2166528","Calculated data","1000 $","1772588","Calculated data","index","103","Calculated data","index","109","Calculated data","index","85","Calculated data","1000 $","121186","Calculated data","1000 $","95827","Calculated data","index","93","Calculated data"
"2016 [2016]","Meat, chicken [1058]","Hungary [97]","index","105","Calculated data","index","94","Calculated data","1000 $","588296","Calculated data","1000 $","524319","Calculated data","index","99","Calculated data","index","90","Calculated data","index","98","Calculated data","1000 $","53431","Calculated data","1000 $","57971","Calculated data","index","87","Calculated data"
"2016 [2016]","Meat, chicken [1058]","Ireland [104]","index","112","Calculated data","index","82","Calculated data","1000 $","108618","Calculated data","1000 $","81488","Calculated data","index","94","Calculated data","index","95","Calculated data","index","99","Calculated data","1000 $","327923","Calculated data","1000 $","350005","Calculated data","index","97","Calculated data"
"2016 [2016]","Meat, pig [1035]","Hungary [97]","index","100","Calculated data","index","96","Calculated data","1000 $","369859","Calculated data","1000 $","355320","Calculated data","index","96","Calculated data","index","110","Calculated data","index","95","Calculated data","1000 $","293305","Calculated data","1000 $","253129","Calculated data","index","105","Calculated data"
"2016 [2016]","Meat, pig [1035]","Ireland [104]","index","110","Calculated data","index","95","Calculated data","1000 $","506165","Calculated data","1000 $","442626","Calculated data","index","106","Calculated data","index","94","Calculated data","index","100","Calculated data","1000 $","117803","Calculated data","1000 $","124777","Calculated data","index","94","Calculated data"
"2016 [2016]","Meat, sheep [977]","Hungary [97]","index","182","Calculated data","index","82","Calculated data","1000 $","2571","Calculated data","1000 $","1254","Calculated data","index","162","Calculated data","index","128","Calculated data","index","82","Calculated data","1000 $","2034","Calculated data","1000 $","1346","Calculated data","index","109","Calculated data"
"2016 [2016]","Meat, sheep [977]","Ireland [104]","index","112","Calculated data","index","97","Calculated data","1000 $","303698","Calculated data","1000 $","263790","Calculated data","index","108","Calculated data","index","86","Calculated data","index","102","Calculated data","1000 $","20837","Calculated data","1000 $","24673","Calculated data","index","88","Calculated data"
"2017 [2017]","Meat, cattle [867]","Hungary [97]","index","106","Calculated data","index","109","Calculated data","1000 $","38474","Calculated data","1000 $","39510","Calculated data","index","116","Calculated data","index","119","Calculated data","index","105","Calculated data","1000 $","54853","Calculated data","1000 $","48523","Calculated data","index","126","Calculated data"
"2017 [2017]","Meat, cattle [867]","Ireland [104]","index","113","Calculated data","index","97","Calculated data","1000 $","2193158","Calculated data","1000 $","1894889","Calculated data","index","111","Calculated data","index","120","Calculated data","index","79","Calculated data","1000 $","133824","Calculated data","1000 $","88695","Calculated data","index","95","Calculated data"
"2017 [2017]","Meat, chicken [1058]","Hungary [97]","index","85","Calculated data","index","98","Calculated data","1000 $","475879","Calculated data","1000 $","551032","Calculated data","index","84","Calculated data","index","138","Calculated data","index","108","Calculated data","1000 $","82325","Calculated data","1000 $","64251","Calculated data","index","149","Calculated data"
"2017 [2017]","Meat, chicken [1058]","Ireland [104]","index","146","Calculated data","index","72","Calculated data","1000 $","141408","Calculated data","1000 $","71116","Calculated data","index","107","Calculated data","index","87","Calculated data","index","101","Calculated data","1000 $","299256","Calculated data","1000 $","355648","Calculated data","index","90","Calculated data"
"2017 [2017]","Meat, pig [1035]","Hungary [97]","index","103","Calculated data","index","103","Calculated data","1000 $","380262","Calculated data","1000 $","382688","Calculated data","index","106","Calculated data","index","116","Calculated data","index","107","Calculated data","1000 $","308769","Calculated data","1000 $","285893","Calculated data","index","125","Calculated data"
"2017 [2017]","Meat, pig [1035]","Ireland [104]","index","115","Calculated data","index","94","Calculated data","1000 $","530066","Calculated data","1000 $","437944","Calculated data","index","109","Calculated data","index","109","Calculated data","index","94","Calculated data","1000 $","136528","Calculated data","1000 $","117567","Calculated data","index","102","Calculated data"
"2017 [2017]","Meat, sheep [977]","Hungary [97]","index","148","Calculated data","index","80","Calculated data","1000 $","2090","Calculated data","1000 $","1227","Calculated data","index","129","Calculated data","index","111","Calculated data","index","85","Calculated data","1000 $","1755","Calculated data","1000 $","1388","Calculated data","index","97","Calculated data"
"2017 [2017]","Meat, sheep [977]","Ireland [104]","index","128","Calculated data","index","97","Calculated data","1000 $","348526","Calculated data","1000 $","263272","Calculated data","index","124","Calculated data","index","116","Calculated data","index","101","Calculated data","1000 $","28046","Calculated data","1000 $","24521","Calculated data","index","118","Calculated data"
"2018 [2018]","Meat, cattle [867]","Hungary [97]","index","114","Calculated data","index","126","Calculated data","1000 $","41076","Calculated data","1000 $","45994","Calculated data","index","144","Calculated data","index","126","Calculated data","index","115","Calculated data","1000 $","58028","Calculated data","1000 $","52807","Calculated data","index","145","Calculated data"
"2018 [2018]","Meat, cattle [867]","Ireland [104]","index","112","Calculated data","index","104","Calculated data","1000 $","2169615","Calculated data","1000 $","2015229","Calculated data","index","117","Calculated data","index","194","Calculated data","index","59","Calculated data","1000 $","216157","Calculated data","1000 $","66638","Calculated data","index","116","Calculated data"
"2018 [2018]","Meat, chicken [1058]","Hungary [97]","index","98","Calculated data","index","111","Calculated data","1000 $","545980","Calculated data","1000 $","619566","Calculated data","index","108","Calculated data","index","140","Calculated data","index","128","Calculated data","1000 $","83286","Calculated data","1000 $","75740","Calculated data","index","178","Calculated data"
"2018 [2018]","Meat, chicken [1058]","Ireland [104]","index","138","Calculated data","index","89","Calculated data","1000 $","134127","Calculated data","1000 $","88517","Calculated data","index","126","Calculated data","index","93","Calculated data","index","109","Calculated data","1000 $","318769","Calculated data","1000 $","385757","Calculated data","index","104","Calculated data"
"2018 [2018]","Meat, pig [1035]","Hungary [97]","index","95","Calculated data","index","90","Calculated data","1000 $","352555","Calculated data","1000 $","335314","Calculated data","index","86","Calculated data","index","125","Calculated data","index","97","Calculated data","1000 $","333965","Calculated data","1000 $","260171","Calculated data","index","123","Calculated data"
"2018 [2018]","Meat, pig [1035]","Ireland [104]","index","112","Calculated data","index","97","Calculated data","1000 $","515279","Calculated data","1000 $","448274","Calculated data","index","109","Calculated data","index","122","Calculated data","index","87","Calculated data","1000 $","152909","Calculated data","1000 $","108458","Calculated data","index","106","Calculated data"
"2018 [2018]","Meat, sheep [977]","Hungary [97]","index","212","Calculated data","index","84","Calculated data","1000 $","2998","Calculated data","1000 $","1287","Calculated data","index","194","Calculated data","index","116","Calculated data","index","96","Calculated data","1000 $","1836","Calculated data","1000 $","1565","Calculated data","index","114","Calculated data"
"2018 [2018]","Meat, sheep [977]","Ireland [104]","index","122","Calculated data","index","108","Calculated data","1000 $","332802","Calculated data","1000 $","293860","Calculated data","index","132","Calculated data","index","121","Calculated data","index","111","Calculated data","1000 $","29277","Calculated data","1000 $","26961","Calculated data","index","135","Calculated data"
"2019 [2019]","Meat, cattle [867]","Hungary [97]","index","111","Calculated data","index","114","Calculated data","1000 $","40265","Calculated data","1000 $","41571","Calculated data","index","128","Calculated data","index","135","Calculated data","index","107","Calculated data","1000 $","62156","Calculated data","1000 $","49278","Calculated data","index","145","Calculated data"
"2019 [2019]","Meat, cattle [867]","Ireland [104]","index","113","Calculated data","index","92","Calculated data","1000 $","2187906","Calculated data","1000 $","1787774","Calculated data","index","104","Calculated data","index","107","Calculated data","index","95","Calculated data","1000 $","119713","Calculated data","1000 $","106608","Calculated data","index","103","Calculated data"
"2019 [2019]","Meat, chicken [1058]","Hungary [97]","index","107","Calculated data","index","93","Calculated data","1000 $","596764","Calculated data","1000 $","518089","Calculated data","index","99","Calculated data","index","183","Calculated data","index","106","Calculated data","1000 $","109260","Calculated data","1000 $","63064","Calculated data","index","194","Calculated data"
"2019 [2019]","Meat, chicken [1058]","Ireland [104]","index","167","Calculated data","index","80","Calculated data","1000 $","161763","Calculated data","1000 $","79311","Calculated data","index","136","Calculated data","index","79","Calculated data","index","106","Calculated data","1000 $","270038","Calculated data","1000 $","372029","Calculated data","index","85","Calculated data"
"2019 [2019]","Meat, pig [1035]","Hungary [97]","index","109","Calculated data","index","94","Calculated data","1000 $","401600","Calculated data","1000 $","348365","Calculated data","index","102","Calculated data","index","129","Calculated data","index","107","Calculated data","1000 $","343521","Calculated data","1000 $","286769","Calculated data","index","139","Calculated data"
"2019 [2019]","Meat, pig [1035]","Ireland [104]","index","103","Calculated data","index","103","Calculated data","1000 $","474284","Calculated data","1000 $","477028","Calculated data","index","107","Calculated data","index","101","Calculated data","index","113","Calculated data","1000 $","126726","Calculated data","1000 $","141076","Calculated data","index","114","Calculated data"
"2019 [2019]","Meat, sheep [977]","Hungary [97]","index","200","Calculated data","index","82","Calculated data","1000 $","2824","Calculated data","1000 $","1254","Calculated data","index","178","Calculated data","index","117","Calculated data","index","91","Calculated data","1000 $","1858","Calculated data","1000 $","1477","Calculated data","index","109","Calculated data"
"2019 [2019]","Meat, sheep [977]","Ireland [104]","index","125","Calculated data","index","99","Calculated data","1000 $","338772","Calculated data","1000 $","270534","Calculated data","index","124","Calculated data","index","159","Calculated data","index","101","Calculated data","1000 $","38504","Calculated data","1000 $","24351","Calculated data","index","161","Calculated data"
"2020 [2020]","Meat, cattle [867]","Hungary [97]","index","107","Calculated data","index","109","Calculated data","1000 $","38760","Calculated data","1000 $","39469","Calculated data","index","117","Calculated data","index","122","Calculated data","index","106","Calculated data","1000 $","55901","Calculated data","1000 $","48681","Calculated data","index","129","Calculated data"
"2020 [2020]","Meat, cattle [867]","Ireland [104]","index","113","Calculated data","index","96","Calculated data","1000 $","2183934","Calculated data","1000 $","1872811","Calculated data","index","109","Calculated data","index","104","Calculated data","index","102","Calculated data","1000 $","115963","Calculated data","1000 $","114881","Calculated data","index","107","Calculated data"
"2020 [2020]","Meat, chicken [1058]","Hungary [97]","index","92","Calculated data","index","79","Calculated data","1000 $","515772","Calculated data","1000 $","441217","Calculated data","index","73","Calculated data","index","212","Calculated data","index","105","Calculated data","1000 $","126357","Calculated data","1000 $","62102","Calculated data","index","221","Calculated data"
"2020 [2020]","Meat, chicken [1058]","Ireland [104]","index","169","Calculated data","index","78","Calculated data","1000 $","164278","Calculated data","1000 $","77353","Calculated data","index","135","Calculated data","index","70","Calculated data","index","93","Calculated data","1000 $","239081","Calculated data","1000 $","328064","Calculated data","index","66","Calculated data"
"2020 [2020]","Meat, pig [1035]","Hungary [97]","index","110","Calculated data","index","93","Calculated data","1000 $","405591","Calculated data","1000 $","346271","Calculated data","index","103","Calculated data","index","102","Calculated data","index","115","Calculated data","1000 $","272523","Calculated data","1000 $","307858","Calculated data","index","118","Calculated data"
"2020 [2020]","Meat, pig [1035]","Ireland [104]","index","108","Calculated data","index","107","Calculated data","1000 $","498827","Calculated data","1000 $","498241","Calculated data","index","117","Calculated data","index","111","Calculated data","index","135","Calculated data","1000 $","138357","Calculated data","1000 $","168775","Calculated data","index","149","Calculated data"
"2020 [2020]","Meat, sheep [977]","Hungary [97]","index","194","Calculated data","index","101","Calculated data","1000 $","2737","Calculated data","1000 $","1556","Calculated data","index","214","Calculated data","index","51","Calculated data","index","95","Calculated data","1000 $","808","Calculated data","1000 $","1555","Calculated data","index","50","Calculated data"
"2020 [2020]","Meat, sheep [977]","Ireland [104]","index","130","Calculated data","index","110","Calculated data","1000 $","354446","Calculated data","1000 $","299293","Calculated data","index","143","Calculated data","index","150","Calculated data","index","113","Calculated data","1000 $","36350","Calculated data","1000 $","27474","Calculated data","index","171","Calculated data"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
